code,1,2,3,4,5,6,7,8,9,10
1,2875.097049689441,3039.860954263128,3110.221979107849,3181.4652738565783,3236.607142857143,3313.8057594579327,3594.3675889328065,3986.5365612648216,4333.930335968379,4755.434782608696
2,596.7327485367164,703.3950049873341,796.3491680270165,870.5992897878642,940.1487906483733,1017.6967302136467,1187.4851259803318,1404.0336249441034,1645.9310219568215,2120.570679987881
3,3089.5541035092547,3416.2137345342003,3657.2471003371215,3772.837479723437,3910.367685074113,4495.531284058788,5319.798356747665,5720.809620207393,5979.212014898767,6396.678147831766
4,7074.561021356213,7431.797232909756,7637.7010313533265,7707.405657997918,7825.261506995685,8164.612978818048,8912.561966037338,9474.784809894389,9882.465159151254,10518.51987728317
5,912.0120370053052,972.0665103292064,1013.4192373408272,1055.098347359643,1096.9406488820566,1169.3650381786522,1361.4087996122569,1558.6746891609837,1693.0139349224921,1828.0385849991105
6,2859.788994002577,3020.020776857777,3098.0876685046196,3162.0164616642387,3232.297154144205,3315.0767452867876,3613.616013343087,4025.260069297173,4408.013228342585,4847.933481271119
7,2168.444540948087,2424.153527028463,2632.393500787685,2744.424989720822,2809.680444614866,2877.9388053978387,3118.864254794255,3433.014409328412,3681.909108968525,4054.846921097493
8,6326.498749151275,6899.093361606026,7244.392966199854,7410.688674826533,7559.556012243432,7853.29668534165,9011.194097591617,10198.501886258093,11054.670621938689,11730.38309738465
9,3767.920138107033,4085.523423510364,4220.413677743108,4302.977664833103,4384.4693923505,4480.75830196974,4800.506106518266,5153.493957817308,5458.44458026399,5898.928812686975
10,5768.019740266416,6559.686674677582,7045.803586919503,7344.76709441528,7592.002364719417,8029.122033658698,8968.423284775192,9792.540852455646,10544.206758727934,11968.661041890233
11,4326.812729151728,4690.006695422496,4949.142141560022,5144.772159410518,5249.900995750844,5548.519217527498,6561.395121498728,7536.096414083934,8340.141733650622,9391.192249007876
12,1562.7267038234995,1727.4556558161485,1838.105441184876,1914.1680088754322,1982.6096641962206,2097.216461756943,2356.767150350342,2633.4648917757168,2887.446452098902,3300.2947241303004
13,1992.656411479449,2215.373837347961,2366.5434454249144,2492.7458462516893,2603.9182367437797,2731.4870021464344,2964.2658398918834,3234.060736147548,3494.291080372049,3945.564035296924
