,0
702,2957
703,2958
704,2959
705,2963
706,2969
707,2973
708,2981
709,2983
710,2984
711,2992
712,2996
713,2999
714,3013
715,3017
716,3020
717,3022
718,3025
719,3027
720,3035
721,3041
722,3043
723,3061
724,3068
725,3071
726,3072
727,3073
728,3075
729,3076
730,3108
731,3111
732,3127
733,3145
734,3153
735,3164
736,3165
737,3183
738,3186
739,3193
740,3194
741,3195
742,3197
743,3199
744,3202
745,3203
746,3204
747,3212
748,3222
749,3225
750,3231
751,3240
752,3292
753,3297
754,3301
755,3331
756,3337
757,3348
758,3361
759,3366
760,3369
761,3370
762,3390
763,3397
764,3403
765,3407
766,3408
767,3422
768,3427
769,3428
770,3432
771,3457
772,3459
773,3460
774,3464
775,3470
776,3471
777,3475
778,3478
779,3490
780,3491
781,3503
782,3507
783,3509
784,3510
785,3516
786,3525
787,3527
788,3529
789,3530
790,3531
791,3532
792,3533
793,3536
794,3539
795,3541
796,3543
797,3547
798,3550
799,3563
800,3572
801,3573
802,3575
803,3583
804,3584
805,3591
806,3592
807,3600
808,3601
809,3606
810,3607
811,3608
812,3611
813,3614
814,3616
815,3619
816,3620
817,3621
818,3622
819,3625
820,3626
821,3627
822,3630
823,3631
824,3635
825,3641
826,3642
827,3644
828,3646
829,3647
830,3652
831,3654
832,3658
833,3660
834,3662
835,3663
836,3664
837,3667
838,3668
839,3673
840,3674
841,3677
842,3678
843,3679
844,3680
845,3687
846,3691
847,3693
848,3695
849,3698
850,3701
851,3702
852,3703
853,3704
854,3705
855,3706
856,3708
857,3712
858,3719
859,3726
860,3736
861,3740
862,3744
863,3746
864,3751
865,3759
866,3760
867,3763
868,3768
869,3769
870,3772
871,3774
872,3775
873,3776
874,3777
875,3779
876,3787
877,3788
878,3789
879,3795
880,3797
881,3798
882,3800
883,3803
884,3805
885,3806
886,3814
887,3815
888,3818
889,3819
890,3828
891,3830
892,3836
893,3838
894,3839
895,3840
896,3849
897,3853
898,3866
899,3869
900,3874
901,3875
902,3877
903,3878
904,3879
905,3883
906,3885
907,3886
908,3891
909,3892
910,3893
911,3895
912,3896
913,3897
914,3898
915,3901
916,3903
917,3906
918,3912
919,3913
920,3914
921,3917
922,3920
923,3922
924,3923
925,3924
926,3926
927,3927
928,3928
929,3929
930,3930
931,3933
932,3934
933,3935
934,3937
935,3939
936,3940
937,3941
938,3945
939,3946
940,3947
941,3948
942,3949
943,3952
944,3955
945,3961
946,3966
947,3967
948,3968
949,3969
950,3971
951,3981
952,3982
953,3983
954,3986
955,3991
956,3992
957,3997
958,3998
959,4001
960,4004
961,4005
962,4007
963,4008
964,4009
965,4011
966,4014
967,4017
968,4018
969,4021
970,4022
971,4034
972,4041
973,4047
974,4048
975,4054
976,4057
977,4059
978,4063
979,4066
980,4068
981,4076
982,4077
983,4080
984,4087
985,4088
986,4089
987,4090
988,4095
989,4107
990,4115
991,4118
992,4124
993,4129
994,4133
995,4135
996,4136
997,4137
998,4138
999,4139
1000,4146
1001,4148
1002,4152
1003,4154
1004,4165
1005,4170
1006,4173
1007,4174
1008,4185
1009,4186
1010,4192
